AM.dn	AM.up	N2.dn	N2.up
			WBGene00010454
			WBGene00004422
			WBGene00014826
			WBGene00000522
			WBGene00001075
			WBGene00016425
			WBGene00006870
			WBGene00012668
			WBGene00001631
			WBGene00021253
			WBGene00018702
			WBGene00007925
			WBGene00011460
			WBGene00001170
			WBGene00004796
