	amir_1_mix_1	amir_1_mix_5	amir_1_mix_8	amir_1_mix_11	amir_1_mix_14	amir_1_mix_17	amir_1_mix_21
WBGene00004900	102.664598200658	179.58327447441	156.412108568905	155.336342877074	149.812406524883	164.686071869088	174.738271634504
WBGene00004902	463.341541879286	512.382437885322	611.660359525554	590.767351256902	524.667692115284	534.945792071314	365.606229881423
WBGene00004908	17.5610496922178	18.5284330806931	17.803004227355	23.2392953910583	12.9707711276955	17.0364901933539	9.85703070758739
WBGene00004910	12.15764978692	16.3905369559978	13.9880747500646	20.7930537709469	10.3766169021564	15.9007241804637	9.85703070758739
WBGene00004911	0	2.13789612469536	6.35821579548393	2.4462416201114	1.94561566915433	1.13576601289026	0.896093700689763
WBGene00004912	2.7016999526489	6.41368837408609	5.08657263638714	3.66936243016709	1.29707711276955	0	2.68828110206929
WBGene00004913	6.75424988162224	5.70105633252097	12.7164315909679	14.6774497206684	6.48538556384776	6.81459607734158	10.7531244082772
WBGene00004914	6313.87278934047	5596.2994224109	5108.19057009179	5735.21347835117	5607.91289705916	5701.54538470912	6507.43245440906
WBGene00004915	2932.69529860038	3275.96949507486	2946.39719962725	2880.44950768117	2758.88301886084	3125.628067474	3033.27717683485
WBGene00004916	2188.37696164561	2241.94040276387	1822.26464698569	1914.18406773717	1799.04595541137	2217.01525716179	1975.88661002093
WBGene00004917	7810.61456310796	8443.26442846355	7538.30064712574	7213.9665377085	7363.50676919275	7783.40448633697	7896.37769047819
WBGene00004918	922.630533829598	691.253080318167	618.018575321038	636.022821228963	579.79346940799	592.869858728717	800.211674715958
WBGene00004919	6340.88978886696	7658.65655070036	6415.43973764328	6493.5483805857	6757.77175752937	7222.33607596918	5750.23327732621
WBGene00004920	1184.69542923654	1129.52178588072	1097.42804630053	1177.86534008364	1136.23955078613	1298.18055273357	1015.2741628815
WBGene00004921	10.8067998105956	11.4021126650419	12.7164315909679	7.33872486033419	5.18830845107821	12.4934261417929	3.58437480275905
WBGene00004922	189.118996685423	145.376936479285	147.510606455227	240.954799580972	300.273351606151	190.808690165564	202.517176355886
WBGene00004923	54.0339990529779	55.5852992420794	77.5702327049039	244.62416201114	156.946330645116	190.808690165564	170.257803131055
WBGene00004924	66.191648839898	66.9874119071214	94.1015937731621	105.18838966479	69.393625533171	77.2320888765379	68.9992149531117
WBGene00004925	44.5780492187068	59.148459449905	54.6806558411618	63.6022821228963	57.0713929618603	44.2948745027202	51.9734346400062
WBGene00004926	18.9118996685423	16.3905369559978	10.1731452727743	12.231208100557	12.3222325713107	26.122618296476	9.85703070758739
WBGene00004927	846.982935155429	686.977288068777	728.651530162458	636.022821228963	663.454943181626	654.201223424791	704.329648742154
