	amir_1_mix_1	amir_1_mix_5	amir_1_mix_7	amir_1_mix_8	amir_1_mix_10
WBGene00004451	8.82066053920932	12.6256886123534	8.5850778039465	8.29396069737446	11.9176510213038
WBGene00004452	4634.62706617313	4131.92272587439	4036.05970258035	4287.9776805426	4292.18785244188
WBGene00004453	2071.59513235145	2315.15258554943	1974.56789490769	1891.02303900138	1988.41423578523
WBGene00004454	1074.86049142079	1041.95156548264	1039.86754900302	983.426768402972	1108.34154498125
WBGene00004456	6323.15351225034	6854.41989665396	5342.06466350571	6116.20358854957	5954.24179872063
WBGene00004457	20.161509803907	23.9223573707748	34.340311215786	43.839506543265	25.6687868151159
WBGene00004458	2857.89401470382	3087.97763061085	3385.7400589314	2920.65901700401	3233.35039631835
WBGene00004459	5409.5850992608	5686.21144504779	5799.22005656586	5235.85890309968	5619.63082773787
WBGene00004460	2418.1210821061	2371.63592934154	2345.87250992838	2434.8698904435	2586.13027162293
WBGene00004461	2787.32873039015	2250.03061270677	2459.62479083067	2126.80849311245	2748.39367398991
WBGene00004462	2909.55788357633	3569.74732766118	3293.45047253898	3304.55091213963	3283.77122756232
WBGene00004463	4470.81479901638	3789.70011348692	4201.32245030632	3651.71240990116	4162.01043359379
WBGene00004464	887.106431371909	806.050541409719	843.483894237743	675.365371071921	831.485344332504
WBGene00004465	4276.76026715378	3120.53861703219	4277.51501581634	3828.25528760241	4036.41672667697
WBGene00004466	3886.13101470308	3776.4099149476	4142.30004040418	3646.97300378837	3819.14878113474
WBGene00004467	3862.18922181094	3442.82593161068	3457.64008553945	3755.97934438244	3670.63651456157
WBGene00004468	549.401142156467	513.001663617727	489.34943482495	520.149820878199	556.462628456262
WBGene00004469	2628.55684068438	1886.54368265638	2745.07862781189	2469.2305847612	3349.77667937262
WBGene00004470	1999.76975367503	1774.9060149261	1872.62009598583	1754.7651132588	2378.02974994324
WBGene00004471	7400.53419239662	6550.07435010355	6966.79063790258	6579.48053607434	8093.91852823779
WBGene00004472	3472.82006372299	3149.77705381869	3567.09982753977	3376.8268553596	3714.64014910177
WBGene00004473	1498.25219730284	1071.19000226914	1290.98107476845	1184.85152819635	1508.04122538806
WBGene00004474	1168.10747426386	1158.90531262865	1191.17954529758	1088.87855441245	1391.61494233378
