"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"49","WBGene00006728","WBGene00019922","WBGene00235164","WBGene00004820","WBGene00009818","WBGene00012300","WBGene00009818","WBGene00012261","WBGene00015698","WBGene00007332","WBGene00000004","WBGene00235164","WBGene00004820","WBGene00235164"
"50","WBGene00235164","WBGene00003053","WBGene00009964","WBGene00018731","WBGene00004449","WBGene00001854","WBGene00004449","WBGene00021322","WBGene00011428","WBGene00001391","WBGene00021471","WBGene00009964","WBGene00018731","WBGene00009964"
"51","WBGene00004436","WBGene00012300","WBGene00010953","WBGene00001853","WBGene00006942","WBGene00003159","WBGene00006942","WBGene00021002","WBGene00008113","WBGene00018701","WBGene00018743","WBGene00010953","WBGene00001853","WBGene00010953"
"52","WBGene00206361","WBGene00001854","WBGene00010196","WBGene00016088","WBGene00000969","WBGene00017481","WBGene00000969","WBGene00002054","WBGene00016628","WBGene00003161","WBGene00021101","WBGene00010196","WBGene00016088","WBGene00010196"
"53","WBGene00004469","WBGene00003159","WBGene00021625","WBGene00011231","WBGene00004428","WBGene00018271","WBGene00004428","WBGene00021253","WBGene00010319","WBGene00021420","WBGene00005077","WBGene00021625","WBGene00011231","WBGene00021625"
"54","WBGene00006725","WBGene00017481","WBGene00044081","WBGene00004821","WBGene00022820","WBGene00018731","WBGene00022820","WBGene00008020","WBGene00015729","WBGene00000781","WBGene00011774","WBGene00044081","WBGene00004821","WBGene00044081"
"55","WBGene00194713","WBGene00018271","WBGene00010084","WBGene00017423","WBGene00011190","WBGene00000388","WBGene00011190","WBGene00015551","WBGene00012428","WBGene00003661","WBGene00000003","WBGene00010084","WBGene00017423","WBGene00010084"
"56","WBGene00009818","WBGene00018731","WBGene00020194","WBGene00011977","WBGene00015811","WBGene00017105","WBGene00015811","WBGene00016355","WBGene00015694","WBGene00020375","WBGene00015613","WBGene00020194","WBGene00011977","WBGene00020194"
"57","WBGene00004449","WBGene00000388","WBGene00006587","WBGene00021165","WBGene00004487","WBGene00000836","WBGene00004487","WBGene00021095","WBGene00018353","WBGene00008822","WBGene00000414","WBGene00006587","WBGene00021165","WBGene00006587"
"58","WBGene00006942","WBGene00017105","WBGene00020473","WBGene00006773","WBGene00016594","WBGene00000995","WBGene00016594","WBGene00014207","WBGene00017717","WBGene00008915","WBGene00000396","WBGene00020473","WBGene00006773","WBGene00020473"
"59","WBGene00000969","WBGene00000836","WBGene00011831","WBGene00016638","WBGene00004478","WBGene00001853","WBGene00004478","WBGene00009215","WBGene00009734","WBGene00016238","WBGene00001103","WBGene00011831","WBGene00016638","WBGene00011831"
"60","WBGene00006408","WBGene00000995","WBGene00004422","WBGene00003587","WBGene00016450","WBGene00004391","WBGene00016450","WBGene00006741","WBGene00017438","WBGene00003901","WBGene00000366","WBGene00004422","WBGene00003587","WBGene00004422"
"61","WBGene00004428","WBGene00019606","WBGene00000779","WBGene00009834","WBGene00004432","WBGene00004700","WBGene00004432","WBGene00020315","WBGene00011573","WBGene00020216","WBGene00021199","WBGene00000779","WBGene00009834","WBGene00000779"
"62","WBGene00022820","WBGene00001853","WBGene00044280","WBGene00014159","WBGene00004447","WBGene00009834","WBGene00004447","WBGene00045251","WBGene00002265","WBGene00019547","WBGene00014199","WBGene00044280","WBGene00014159","WBGene00044280"
"63","WBGene00011190","WBGene00004391","WBGene00014173","WBGene00003518","WBGene00017485","WBGene00006773","WBGene00017485","WBGene00003091","WBGene00016923","WBGene00011605","WBGene00006580","WBGene00014173","WBGene00003518","WBGene00014173"
"64","WBGene00015811","WBGene00004700","WBGene00004489","WBGene00000503","WBGene00004473","WBGene00011509","WBGene00004473","WBGene00020938","WBGene00017063","WBGene00017085","WBGene00010731","WBGene00004489","WBGene00000503","WBGene00004489"
"65","WBGene00004487","WBGene00009834","WBGene00021909","WBGene00001820","WBGene00007682","WBGene00014097","WBGene00007682","WBGene00012861","WBGene00019908","WBGene00021763","WBGene00021505","WBGene00021909","WBGene00001820","WBGene00021909"
"66","WBGene00016594","WBGene00004352","WBGene00018297","WBGene00002117","WBGene00004431","WBGene00007979","WBGene00004431","WBGene00019160","WBGene00006980","WBGene00006720","WBGene00016983","WBGene00018297","WBGene00002117","WBGene00018297"
"67","WBGene00001075","WBGene00006773","WBGene00000756","WBGene00007417","WBGene00004497","WBGene00000458","WBGene00004497","WBGene00022013","WBGene00000696","WBGene00018483","WBGene00004055","WBGene00000756","WBGene00007417","WBGene00000756"
"68","WBGene00004478","WBGene00011509","WBGene00013393","WBGene00018605","WBGene00004481","WBGene00010808","WBGene00004481","WBGene00013654","WBGene00007363","WBGene00005059","WBGene00000609","WBGene00013393","WBGene00018605","WBGene00013393"
"69","WBGene00016450","WBGene00014097","WBGene00015110","WBGene00000461","WBGene00003754","WBGene00008825","WBGene00003754","WBGene00012692","WBGene00013781","WBGene00007433","WBGene00004749","WBGene00015110","WBGene00000461","WBGene00015110"
"70","WBGene00004432","WBGene00007979","WBGene00003769","WBGene00000884","WBGene00004491","WBGene00017402","WBGene00004491","WBGene00022736","WBGene00020007","WBGene00012546","WBGene00019872","WBGene00003769","WBGene00000884","WBGene00003769"
"71","WBGene00004447","WBGene00000458","WBGene00004426","WBGene00044281","WBGene00004408","WBGene00007548","WBGene00004408","WBGene00018488","WBGene00022101","WBGene00016823","WBGene00005009","WBGene00004426","WBGene00044281","WBGene00004426"
"72","WBGene00017485","WBGene00010808","WBGene00045394","WBGene00001104","WBGene00004421","WBGene00010519","WBGene00004421","WBGene00005018","WBGene00009358","WBGene00011501","WBGene00003111","WBGene00045394","WBGene00001104","WBGene00045394"
"73","WBGene00022382","WBGene00008825","WBGene00021321","WBGene00016453","WBGene00004471","WBGene00001104","WBGene00004471","WBGene00019097","WBGene00012557","WBGene00010690","WBGene00010550","WBGene00021321","WBGene00016453","WBGene00021321"
"74","WBGene00004473","WBGene00017402","WBGene00004421","WBGene00003159","WBGene00012101","WBGene00018013","WBGene00012101","WBGene00077490","WBGene00012783","WBGene00002076","WBGene00017854","WBGene00004421","WBGene00003159","WBGene00004421"
"75","WBGene00007682","WBGene00015549","WBGene00013579","WBGene00020756","WBGene00004427","WBGene00010740","WBGene00004427","WBGene00045401","WBGene00195143","WBGene00020630","WBGene00018362","WBGene00013579","WBGene00020756","WBGene00013579"
"76","WBGene00004431","WBGene00007548","WBGene00004429","WBGene00011915","WBGene00004414","WBGene00020205","WBGene00004414","WBGene00010573","WBGene00010085","WBGene00015180","WBGene00003822","WBGene00004429","WBGene00011915","WBGene00004429"
"77","WBGene00004497","WBGene00010519","WBGene00045416","WBGene00001186","WBGene00004417","WBGene00001820","WBGene00004417","WBGene00009787","WBGene00020445","WBGene00018269","WBGene00009673","WBGene00045416","WBGene00001186","WBGene00045416"
