	amir_1_mix_1	amir_1_mix_2	amir_1_mix_3	amir_1_mix_5	amir_1_mix_6	amir_1_mix_7	amir_1_mix_8	amir_1_mix_9	amir_1_mix_10
WBGene00016266	12.9515873913901	11.1608668169193	0	4.88205566936361	10.7936666827654	7.09503536218021	6.07884169875737	13.5780471071266	12.0768374119606
WBGene00016269	98.062018820525	79.0561399531783	71.3772206468843	101.058552355827	69.7990445485497	88.2937733960204	119.840022061217	98.1797252361462	87.8925389426021
WBGene00016273	1.85022677019859	10.230794582176	12.9776764812517	0.976411133872723	11.5132444616165	7.09503536218021	0	14.6225122692133	8.05122494130706
WBGene00016274	1103.66026842346	1029.58996386081	746.216397671972	889.51054295805	835.429801246044	582.581236961242	886.642482061611	541.032953960891	678.31570130512
WBGene00016276	5.55068031059576	12.0909390516626	0	3.90564453549089	2.87831111540411	4.73002357478681	2.60521787089602	3.13339548625999	6.70935411775589
WBGene00016277	26.8282881678795	23.2518058685819	25.9553529625034	21.4810449451999	31.6614222694452	37.8401885982945	19.9733370102028	34.4673503488598	32.8758351770038
WBGene00016278	916.787364633399	1007.26823022697	908.437353687618	1178.52823858438	1039.07031266088	1016.95506857916	1036.87671261661	1048.64302273501	949.373607662458
WBGene00016281	0.925113385099293	6.51050564320292	0	1.95282226774545	2.15873333655308	0	0	5.22232581043331	3.35467705887794
WBGene00016283	17.5771543168866	26.0420225728117	12.9776764812517	21.9692505121363	17.9894444712757	15.7667452492894	17.3681191393068	22.9782335659066	16.7733852943897
WBGene00016289	183.17245024966	273.441237014523	324.441912031292	216.275066152808	239.619400357392	223.099445277444	244.890479864225	285.138989249659	191.216592356043
WBGene00016291	863.13078829764	896.589634292517	1038.21411850014	943.701360887987	903.789690236891	924.719608870821	838.011748471552	744.70366056779	1104.35968778262
WBGene00016292	154.493935311582	100.447801352274	142.754441293769	154.27295915189	89.2276445775275	186.835931204079	151.971042468934	180.692473040992	122.781180354933
WBGene00016294	1.85022677019859	1.86014446948655	6.48883824062584	1.46461670080908	2.15873333655308	2.3650117873934	1.73681191393068	6.26679097251997	2.68374164710235
WBGene00016295	16.6520409317873	42.7833227981906	32.4441912031292	20.5046338113272	38.1376222791045	33.1101650235077	21.7101489241335	32.3784200246865	14.7605790590629
WBGene00016298	9.25113385099293	4.65036117371637	0	10.2523169056636	2.87831111540411	5.51836083725128	8.68405956965339	8.35572129669329	2.68374164710235
WBGene00016303	25.9031747827802	15.8112279906357	6.48883824062584	16.5989892758363	10.7936666827654	18.1317570366828	13.0260893544801	18.8003729175599	21.4699331768188
WBGene00016307	8.32602046589363	2.79021670422982	6.48883824062584	9.27590577179087	4.31746667310617	11.0367216745026	4.34202978482669	6.26679097251997	6.0384187059803
WBGene00016308	0.925113385099293	1.86014446948655	6.48883824062584	2.44102783468181	2.87831111540411	0.788337262464468	1.73681191393068	1.04446516208666	0.670935411775589
WBGene00016309	12.9515873913901	8.37065011268947	0	11.2287280395363	2.15873333655308	9.46004714957362	5.21043574179203	6.26679097251997	10.0640311766338
WBGene00016310	18.5022677019859	21.3916613990953	6.48883824062584	12.205139173409	16.5502889135736	7.88337262464468	19.1049310532374	12.5335819450399	5.36748329420471
WBGene00016311	71.2337306526455	76.2659232489485	77.8660588875101	56.1436401976816	63.3228445388905	59.1252946848351	50.3675455039896	56.4011187526797	73.1319598835392
