rank,target,id,raw.score,p.value,top.motif.prop,enriched.motif
112,W08E12.1,W08E12.1,2.1774510667443874,0.4038127218983857,0.03731343283582089,FALSE
113,hlh-25,hlh-25,1.7734290516621256,0.4080765574282459,0.02736318407960199,FALSE
114,nhr-86,nhr-86,1.1200614850200716,0.4106858987760455,0.024875621890547265,FALSE
115,C27D6.4,C27D6.4,4.164960175974267,0.42829866791426674,0.02736318407960199,FALSE
116,pax-2,pax-2,1.4811758924860061,0.4376829150404941,0.04228855721393035,FALSE
117,mxl-3,mxl-3,2.704308819643649,0.44775409769218927,0.03482587064676617,FALSE
118,ref-1,ref-1,2.4710535905005453,0.44894038067128794,0.02736318407960199,FALSE
119,atf-5,atf-5,2.012351284608066,0.47335698269688153,0.03482587064676617,FALSE
120,ztf-9,ztf-9,0.7720016924946967,0.4992116606119467,0.03482587064676617,FALSE
121,sma-4,sma-4,1.2024989005722397,0.5178026734767891,0.029850746268656716,FALSE
122,ceh-37,ceh-37,0.5245575902279427,0.5189772343582418,0.05970149253731343,FALSE
123,nhr-70,nhr-70,0.8885535136357159,0.524381635947749,0.04228855721393035,FALSE
124,hlh-10,hlh-10,0.34226990650268296,0.5471980164988857,0.007462686567164179,FALSE
125,daf-16,daf-16,1.110470513147359,0.5600113384472443,0.06716417910447761,FALSE
126,hlh-27,hlh-27,1.7809532407845157,0.5636569459254953,0.022388059701492536,FALSE
127,skn-1,skn-1,0.8330185495164973,0.5691270342995989,0.06218905472636816,FALSE
128,skn-1,skn-1,0.8277157499924148,0.5749799646563905,0.04228855721393035,FALSE
129,daf-12,daf-12,1.0008446045383295,0.5803736591672253,0.04228855721393035,FALSE
130,dpy-27,dpy-27,0.1767351530601716,0.5858718867840413,0.009950248756218905,FALSE
131,nhr-5,nhr-5,1.1327267856495442,0.5885622922492267,0.03731343283582089,FALSE
132,zip-3,zip-3,1.0679247743792295,0.5920925959107759,0.02736318407960199,FALSE
133,nhr-84,nhr-84,1.0406297550347023,0.5990125743208539,0.05472636815920398,FALSE
134,ceh-53,ceh-53,0.5402485782821915,0.600843760860432,0.04477611940298507,FALSE
135,Y51H4A.4,Y51H4A.4,0.5161881227651588,0.6038209677889568,0.029850746268656716,FALSE
136,hsf-1,hsf-1,2.5775919434161656,0.6252464458053318,0.06716417910447761,FALSE
137,nhr-142,nhr-142,0.9047199937044483,0.6275051294168608,0.03980099502487562,FALSE
138,dmd-6,dmd-6,1.0548870808346267,0.6310432886970169,0.06218905472636816,FALSE
139,hlh-1,hlh-1,1.6682586098528653,0.6383850601969577,0.009950248756218905,FALSE
140,ceh-19,ceh-19,0.7675820168829632,0.6464358855489172,0.0472636815920398,FALSE
141,odd-2,odd-2,0.9590814577600666,0.6583471362520814,0.03482587064676617,FALSE
142,jun-1,jun-1,0.8697159893736889,0.6663632452479799,0.03731343283582089,FALSE
143,ceh-18,ceh-18,0.71172785091648,0.6794030159500387,0.04228855721393035,FALSE
144,ces-1,ces-1,0.8537384290193806,0.6873474127964152,0.024875621890547265,FALSE
145,atf-7,atf-7,1.8473752565676056,0.6990786865759671,0.04477611940298507,FALSE
146,npax-1,npax-1,1.2551508906062436,0.7299672009501914,0.05223880597014925,FALSE
147,unc-86,unc-86,0.526196330491198,0.7344246454495411,0.03980099502487562,FALSE
148,nhr-204,nhr-204,0.9459442526582754,0.734876629694019,0.03731343283582089,FALSE
149,daf-19,daf-19,0.8164578994904443,0.748883659339293,0.024875621890547265,FALSE
150,skn-1,skn-1,3.0342572020035865,0.768323346837102,0.024875621890547265,FALSE
151,lin-31,lin-31,1.076790673219822,0.7910783272534442,0.03482587064676617,FALSE
152,nhr-1,nhr-1,0.7485729022916102,0.8629472683642176,0.03980099502487562,FALSE
153,hlh-29,hlh-29,0.9799000602529166,0.8708595505480877,0.01990049751243781,FALSE
154,mdl-1,mdl-1,1.419030035413577,0.8738510574706608,0.017412935323383085,FALSE
155,hlh-30,hlh-30,1.5194403738047362,0.8771520488487989,0.012437810945273632,FALSE
156,fkh-9,fkh-9,1.1709971336253817,0.8997533006467396,0.04228855721393035,FALSE
157,daf-16,daf-16,0.7368945743592189,0.9028132169421822,0.022388059701492536,FALSE
158,lin-39,lin-39,0.8765776054216713,0.9153766223932269,0.009950248756218905,FALSE
159,K11D2.4,K11D2.4,2.907272415793429,0.9215617731478716,0.06716417910447761,FALSE
160,mab-3,mab-3,0.7266821912541798,0.92593771361152,0.012437810945273632,FALSE
161,F10B5.3,F10B5.3,1.687914351173089,0.9293600724177583,0.03731343283582089,FALSE
162,ceh-23,ceh-23,0.6585384411096075,0.9309416017759062,0.03482587064676617,FALSE
163,nhr-216,nhr-216,1.1111326813772764,0.935209123817965,0.03233830845771144,FALSE
164,D1005.3,D1005.3,0.8594898648348476,0.9446333790371588,0.03980099502487562,FALSE
165,mab-23,mab-23,1.1676978898833084,0.9453394457484202,0.08955223880597014,FALSE
166,xbp-1,xbp-1,0.9100602234291084,0.9456007357939296,0.03731343283582089,FALSE
167,blmp-1,blmp-1,1.3263145805695062,0.9553192076211354,0.029850746268656716,FALSE
168,ceh-22,ceh-22,0.9121089427960751,0.9563483499372751,0.017412935323383085,FALSE
169,egl-27,egl-27,1.239084996512957,0.9568839803599797,0.03731343283582089,FALSE
170,T22H9.4,T22H9.4,1.533348084568118,0.9621143394980387,0.05223880597014925,FALSE
171,C07E3.6,C07E3.6,0.7447217227037806,0.9624074513864173,0.03233830845771144,FALSE
172,ceh-5,ceh-5,0.775136456137243,0.9626762476731532,0.0472636815920398,FALSE
173,ZC123.3,ZC123.3,0.3166641368601679,0.9635390234211544,0.04228855721393035,FALSE
174,C34D1.1,C34D1.1,1.5158969208357036,0.9664479097759777,0.06218905472636816,FALSE
175,F52B5.7,F52B5.7,0.5590541741889161,0.9728258636808663,0.017412935323383085,FALSE
176,R06F6.6,R06F6.6,0.7441890936894505,0.973770625966514,0.03980099502487562,FALSE
177,T27F2.4,T27F2.4,0.4994960179630794,0.974323839381341,0.03980099502487562,FALSE
178,lin-29,lin-29,3.861003251276882,0.9758347778376669,0.06218905472636816,FALSE
179,elt-7,elt-7,0.7674722101415071,0.9759271661866074,0.029850746268656716,FALSE
180,nhr-65,nhr-65,1.2573430286107683,0.9814908665858868,0.024875621890547265,FALSE
181,T13C5.4,T13C5.4,0.6872386107073755,0.9833966786185857,0.03482587064676617,FALSE
182,lim-4,lim-4,0.5103370248113388,0.985282353430599,0.029850746268656716,FALSE
183,ceh-22,ceh-22,0.6395435255084319,0.9876824267204897,0.029850746268656716,FALSE
184,odr-7,odr-7,0.6220923432059898,0.9878197586109536,0.0472636815920398,FALSE
185,gei-11,gei-11,10.311133424552331,0.99171110398516,0.007462686567164179,FALSE
186,ztf-2,ztf-2,1.214453971443245,0.9919382761520902,0.022388059701492536,FALSE
187,egl-38,egl-38,0.028789645906549293,0.9926190169753275,0,FALSE
188,dmd-3,dmd-3,1.0838287271964415,0.9927796382862891,0.05970149253731343,FALSE
189,ceh-36,ceh-36,0.7061588136129511,0.9941970785937646,0.029850746268656716,FALSE
190,vab-7,vab-7,0.4857303326060813,0.9949238500223556,0.03731343283582089,FALSE
191,ztf-29,ztf-29,0.9504042427976862,0.9950035756766008,0.024875621890547265,FALSE
192,die-1,die-1,1.4113001118746258,0.9979746549338967,0.06218905472636816,FALSE
193,che-1,che-1,0.9630115610540856,0.9984001137734676,0.017412935323383085,FALSE
194,R07H5.10,R07H5.10,1.1800452756764142,0.999168453883441,0.06965174129353234,FALSE
195,let-381,let-381,0.6008219029178129,0.9997317291362185,0.05970149253731343,FALSE
196,nhr-7,nhr-7,0.857077498879558,0.9998545280091969,0.03482587064676617,FALSE
197,pag-3,pag-3,1.0083484504521363,0.9998996433465708,0.04975124378109453,FALSE
198,elt-3,elt-3,1.124670348986952,0.9999333793199726,0.03482587064676617,FALSE
199,ztf-28,ztf-28,0.9380957174301342,0.9999503706269255,0.024875621890547265,FALSE
200,elt-6,elt-6,0.734996119626926,0.9999508491654888,0.0472636815920398,FALSE
201,eyg-1,eyg-1,0.7883989467050353,0.9999525156938086,0.022388059701492536,FALSE
202,ceh-90,ceh-90,0.7486158056536498,0.9999693634653412,0.03731343283582089,FALSE
203,elt-1,elt-1,1.023387639026878,0.9999765369374094,0.024875621890547265,FALSE
204,Y61A9LA.9,Y61A9LA.9,1.4782867971490625,0.9999785670939528,0.03980099502487562,FALSE
205,ztf-11,ztf-11,1.4209736516797633,0.9999952778612347,0.04975124378109453,FALSE
206,tag-347,tag-347,0.7588595363945473,0.9999961818343545,0.06218905472636816,FALSE
207,che-1,che-1,1.0624022852501585,0.9999963244762593,0.01990049751243781,FALSE
208,lsy-27,lsy-27,0.9388721476253594,0.9999987380135156,0.022388059701492536,FALSE
209,hmg-12,hmg-12,1.2675420027921003,0.9999999701211405,0.06467661691542288,FALSE
210,cfi-1,cfi-1,0.8339514274383724,0.9999999999980353,0.04477611940298507,FALSE
211,athp-1,athp-1,0.9208066911379034,0.9999999999993642,0.06218905472636816,FALSE
212,Y116A8C.22,Y116A8C.22,1.0563215761121263,0.9999999999998948,0.09701492537313433,FALSE
